0.0000100000 2375057947.7405705452
0.0000100115 2372325134.6667385101
0.0000100231 2369595466.0497846603
0.0000100346 2366868938.2716116905
0.0000100462 2364145547.7182750702
0.0000100577 2361425290.7799825668
0.0000100693 2358708163.8511114120
0.0000100809 2355994163.3301753998
0.0000100925 2353283285.6198344231
0.0000101042 2350575527.1268858910
0.0000101158 2347870884.2622718811
0.0000101274 2345169353.4410533905
0.0000101391 2342470931.0824141502
0.0000101508 2339775613.6096735001
0.0000101625 2337083397.4502511024
0.0000101742 2334394279.0356788635
0.0000101859 2331708254.8016076088
0.0000101976 2329025321.1877746582
0.0000102094 2326345474.6380157471
0.0000102212 2323668711.6002712250
0.0000102329 2320995028.5265550613
0.0000102447 2318324421.8729624748
0.0000102565 2315656888.0996823311
0.0000102683 2312992423.6709613800
0.0000102802 2310331025.0551180840
0.0000102920 2307672688.7245335579
0.0000103039 2305017411.1556577682
0.0000103157 2302365188.8289837837
0.0000103276 2299716018.2290539742
0.0000103395 2297069895.8444685936
0.0000103514 2294426818.1678528786
0.0000103633 2291786781.6958737373
0.0000103753 2289149782.9292354584
0.0000103872 2286515818.3726592064
0.0000103992 2283884884.5348877907
0.0000104112 2281256977.9286932945
0.0000104232 2278632095.0708484650
0.0000104352 2276010232.4821333885
0.0000104472 2273391386.6873426437
0.0000104592 2270775554.2152585983
0.0000104713 2268162731.5986628532
0.0000104833 2265552915.3743195534
0.0000104954 2262946102.0829939842
0.0000105075 2260342288.2694139481
0.0000105196 2257741470.4822878838
0.0000105317 2255143645.2743058205
0.0000105439 2252548809.2021121979
0.0000105560 2249956958.8263111115
0.0000105682 2247368090.7114825249
0.0000105803 2244782201.4261407852
0.0000105925 2242199287.5427532196
0.0000106047 2239619345.6377382278
0.0000106170 2237042372.2914443016
0.0000106292 2234468364.0881562233
0.0000106414 2231897317.6160993576
0.0000106537 2229329229.4674115181
0.0000106660 2226764096.2381582260
0.0000106782 2224201914.5283145905
0.0000106905 2221642680.9417824745
0.0000107029 2219086392.0863590240
0.0000107152 2216533044.5737433434
0.0000107275 2213982635.0195474625
0.0000107399 2211435160.0432620049
0.0000107523 2208890616.2682704926
0.0000107647 2206349000.3218536377
0.0000107771 2203810308.8351578712
0.0000107895 2201274538.4432082176
0.0000108019 2198741685.7849144936
0.0000108143 2196211747.5030403137
0.0000108268 2193684720.2442111969
0.0000108393 2191160600.6589274406
0.0000108518 2188639385.4015254974
0.0000108643 2186121071.1301994324
0.0000108768 2183605654.5069828033
0.0000108893 2181093132.1977643967
0.0000109018 2178583500.8722538948
0.0000109144 2176076757.2039952278
0.0000109270 2173572897.8703713417
0.0000109396 2171071919.5525755882
0.0000109522 2168573818.9356198311
0.0000109648 2166078592.7083444595
0.0000109774 2163586237.5633864403
0.0000109901 2161096750.1971864700
0.0000110027 2158610127.3100004196
0.0000110154 2156126365.6058707237
0.0000110281 2153645461.7926273346
0.0000110408 2151167412.5819048882
0.0000110535 2148692214.6891069412
0.0000110662 2146219864.8334228992
0.0000110790 2143750359.7378101349
0.0000110917 2141283696.1290104389
0.0000111045 2138819870.7375202179
0.0000111173 2136358880.2975957394
0.0000111301 2133900721.5472676754
0.0000111429 2131445391.2283010483
0.0000111558 2128992886.0862174034
0.0000111686 2126543202.8702881336
0.0000111815 2124096338.3335173130
0.0000111944 2121652289.2326443195
0.0000112073 2119211052.3281524181
0.0000112202 2116772624.3842389584
0.0000112331 2114337002.1688263416
0.0000112460 2111904182.4535655975
0.0000112590 2109474162.0138139725
0.0000112720 2107046937.6286377907
0.0000112850 2104622506.0808117390
0.0000112980 2102200864.1568188667
0.0000113110 2099782008.6468322277
0.0000113240 2097365936.3447146416
0.0000113370 2094952644.0480313301
0.0000113501 2092542128.5580208302
0.0000113632 2090134386.6796040535
0.0000113763 2087729415.2213850021
0.0000113894 2085327210.9956314564
0.0000114025 2082927770.8182790279
0.0000114156 2080531091.5089390278
0.0000114288 2078137169.8908686638
0.0000114419 2075746002.7909829617
0.0000114551 2073357587.0398576260
0.0000114683 2070971919.4717044830
0.0000114815 2068588996.9243810177
0.0000114948 2066208816.2393791676
0.0000115080 2063831374.2618389130
0.0000115213 2061456667.8405177593
0.0000115345 2059084693.8277952671
0.0000115478 2056715449.0796918869
0.0000115611 2054348930.4558274746
0.0000115744 2051985134.8194375038
0.0000115878 2049624059.0373804569
0.0000116011 2047265699.9801042080
0.0000116145 2044910054.5216596127
0.0000116279 2042557119.5397078991
0.0000116413 2040206891.9154880047
0.0000116547 2037859368.5338327885
0.0000116681 2035514546.2831561565
0.0000116815 2033172422.0554633141
0.0000116950 2030832992.7463238239
0.0000117085 2028496255.2548787594
0.0000117220 2026162206.4838507175
0.0000117355 2023830843.3395137787
0.0000117490 2021502162.7316994667
0.0000117625 2019176161.5738093853
0.0000117761 2016852836.7827835083
0.0000117896 2014532185.2791106701
0.0000118032 2012214203.9868330956
0.0000118168 2009898889.8335216045
0.0000118304 2007586239.7502820492
0.0000118440 2005276250.6717636585
0.0000118577 2002968919.5361289978
0.0000118713 2000664243.2850708961
0.0000118850 1998362218.8637936115
0.0000118987 1996062843.2210321426
0.0000119124 1993766113.3090162277
0.0000119261 1991472026.0834851265
0.0000119399 1989180578.5036933422
0.0000119536 1986891767.5323805809
0.0000119674 1984605590.1357817650
0.0000119812 1982322043.2836339474
0.0000119950 1980041123.9491500854
0.0000120088 1977762829.1090266705
0.0000120226 1975487155.7434477806
0.0000120365 1973214100.8360626698
0.0000120504 1970943661.3739898205
0.0000120642 1968675834.3478298187
